"Liga","Mecz","MatchId","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Aerts, Jari","1905338","5","5","18","0","2","54.9","0","0","0","0","0","10","7","5","3","2","70","0","0","0","0","0","3","38","58","30","5","71","17","34","12","8","19.8","{""sets"":[{""h"":25,""a"":12},{""h"":25,""a"":13},{""h"":25,""a"":6}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""25 : 12"",""txt"":""Koniec seta 1 : 0""},{""type"":""end"",""score"":""25 : 12"",""txt"":""Koniec seta 1 : 0""},{""type"":""rally"",""score"":""25 : 12"",""speed"":""51.5 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""24 : 12"",""speed"":""63.8 km/h"",""res"":""Punkt: L. Ďurica""},{""type"":""rally"",""score"":""24 : 11"",""speed"":""52.9 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""chg"",""score"":""23 : 11"",""txt"":""Zmiana: C. Bont ⇄ A. Westenend""},{""type"":""rally"",""score"":""23 : 11"",""speed"":""58.6 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""22 : 11"",""speed"":""43.8 km/h"",""res"":""Punkt: M. Zelencik""},{""type"":""rally"",""score"":""22 : 10"",""speed"":""57.4 km/h"",""res"":""Punkt: R. Drent""},{""type"":""rally"",""score"":""21 : 10"",""speed"":""55.6 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""20 : 10"",""speed"":""44.2 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""19 : 10"",""speed"":""52.6 km/h"",""res"":""Punkt: G. Admiraal""},{""type"":""rally"",""score"":""18 : 10"",""speed"":""50.7 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""17 : 10"",""speed"":""55.1 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""16 : 10"",""speed"":""62.0 km/h"",""res"":""Punkt: L. Ďurica""},{""type"":""tmo"",""score"":""16 : 9"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 9"",""speed"":""51.1 km/h"",""res"":""Punkt: R. Drent""},{""type"":""rally"",""score"":""15 : 9"",""speed"":""53.7 km/h"",""res"":""Punkt: G. Penksa""},{""type"":""rally"",""score"":""15 : 8"",""speed"":""48.0 km/h"",""res"":""Błąd: G. Mečiar""},{""type"":""rally"",""score"":""14 : 8"",""speed"":""45.2 km/h"",""res"":""Błąd: G. Penksa""},{""type"":""rally"",""score"":""13 : 8"",""speed"":""52.7 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""12 : 8"",""speed"":""54.2 km/h"",""res"":""Punkt: G. Mečiar""},{""type"":""rally"",""score"":""12 : 7"",""speed"":""47.3 km/h"",""res"":""Punkt: R. Drent""},{""type"":""rally"",""score"":""11 : 7"",""speed"":""53.3 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""10 : 7"",""speed"":""53.5 km/h"",""res"":""Błąd: G. Penksa""},{""type"":""rally"",""score"":""9 : 7"",""speed"":""57.4 km/h"",""res"":""Punkt: J. Aerts""},{""type"":""tmo"",""score"":""8 : 7"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 7"",""speed"":""48.6 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""7 : 7"",""speed"":""60.6 km/h"",""res"":""Punkt: B. Dubašák""},{""type"":""chg"",""score"":""7 : 6"",""txt"":""Zmiana: L. Ďurica ⇄ S. Onderčok""},{""type"":""chg"",""score"":""7 : 6"",""txt"":""Zmiana: G. Penksa ⇄ B. Mihočko""},{""type"":""chg"",""score"":""7 : 6"",""txt"":""Zmiana: G. Mečiar ⇄ �. Ďumbala""},{""type"":""rally"",""score"":""7 : 6"",""speed"":""63.1 km/h"",""res"":""Punkt: J. Aerts""},{""type"":""rally"",""score"":""6 : 6"",""speed"":""59.2 km/h"",""res"":""Punkt: J. Aerts""},{""type"":""chg"",""score"":""5 : 6"",""txt"":""Zmiana: M. Zelencik ⇄ L. Uherík""},{""type"":""chg"",""score"":""5 : 6"",""txt"":""Zmiana: R. Drent ⇄ R. Hartland""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""46.5 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""4 : 6"",""speed"":""-"",""res"":""Błąd: G. Admiraal""},{""type"":""rally"",""score"":""4 : 5"",""speed"":""-"",""res"":""Błąd: L. Uherík""},{""type"":""chg"",""score"":""3 : 5"",""txt"":""Zmiana: B. Dubašák ⇄ L. Svorník""},{""type"":""rally"",""score"":""3 : 5"",""speed"":""57.1 km/h"",""res"":""Punkt: L. Svorník""},{""type"":""rally"",""score"":""3 : 4"",""speed"":""65.7 km/h"",""res"":""Punkt: L. Uherík""},{""type"":""rally"",""score"":""3 : 3"",""speed"":""50.3 km/h"",""res"":""Punkt: R. Hartland""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""64.3 km/h"",""res"":""Punkt: L. Uherík""},{""type"":""rally"",""score"":""2 : 2"",""speed"":""-"",""res"":""Błąd: B. Mihočko""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""47.5 km/h"",""res"":""Błąd: R. Hartland""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""-"",""res"":""Błąd: L. Svorník""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: R. Hartland ⇄ R. Drent""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""45.7 km/h"",""res"":""Punkt: L. Svorník""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 13"",""txt"":""Koniec seta 2 : 0""},{""type"":""end"",""score"":""25 : 13"",""txt"":""Koniec seta 2 : 0""},{""type"":""rally"",""score"":""25 : 13"",""speed"":""54.9 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""chg"",""score"":""24 : 13"",""txt"":""Zmiana: J. Plasterk ⇄ R. Drent""},{""type"":""rally"",""score"":""24 : 13"",""speed"":""51.4 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""23 : 13"",""speed"":""49.3 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""22 : 13"",""speed"":""65.7 km/h"",""res"":""Punkt: L. Ďurica""},{""type"":""rally"",""score"":""22 : 12"",""speed"":""59.3 km/h"",""res"":""Punkt: G. Admiraal""},{""type"":""chg"",""score"":""21 : 12"",""txt"":""Zmiana: C. Bont ⇄ A. Westenend""},{""type"":""rally"",""score"":""21 : 12"",""speed"":""54.3 km/h"",""res"":""Punkt: B. Dubašák""},{""type"":""rally"",""score"":""21 : 11"",""speed"":""64.6 km/h"",""res"":""Punkt: L. Ďurica""},{""type"":""rally"",""score"":""21 : 10"",""speed"":""53.4 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""20 : 10"",""speed"":""47.2 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""19 : 10"",""speed"":""73.3 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""18 : 10"",""speed"":""-"",""res"":""Błąd: R. Drent""},{""type"":""rally"",""score"":""18 : 9"",""speed"":""48.6 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""17 : 9"",""speed"":""53.1 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""16 : 9"",""speed"":""53.7 km/h"",""res"":""Punkt: G. Penksa""},{""type"":""tmo"",""score"":""16 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 8"",""speed"":""48.9 km/h"",""res"":""Punkt: R. Drent""},{""type"":""rally"",""score"":""15 : 8"",""speed"":""64.5 km/h"",""res"":""Punkt: G. Penksa""},{""type"":""rally"",""score"":""15 : 7"",""speed"":""46.7 km/h"",""res"":""Punkt: G. Admiraal""},{""type"":""rally"",""score"":""14 : 7"",""speed"":""55.3 km/h"",""res"":""Punkt: G. Admiraal""},{""type"":""rally"",""score"":""13 : 7"",""speed"":""48.7 km/h"",""res"":""Punkt: G. Penksa""},{""type"":""rally"",""score"":""13 : 6"",""speed"":""51.9 km/h"",""res"":""Punkt: J. Aerts""},{""type"":""rally"",""score"":""12 : 6"",""speed"":""50.0 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""11 : 6"",""speed"":""57.5 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""chg"",""score"":""10 : 6"",""txt"":""Zmiana: L. Ďurica ⇄ S. Onderčok""},{""type"":""chg"",""score"":""10 : 6"",""txt"":""Zmiana: G. Penksa ⇄ B. Mihočko""},{""type"":""chg"",""score"":""10 : 6"",""txt"":""Zmiana: G. Mečiar ⇄ �. Ďumbala""},{""type"":""rally"",""score"":""10 : 6"",""speed"":""45.0 km/h"",""res"":""Punkt: S. Onderčok""},{""type"":""rally"",""score"":""10 : 5"",""speed"":""55.9 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""chg"",""score"":""9 : 5"",""txt"":""Zmiana: B. Dubašák ⇄ L. Svorník""},{""type"":""chg"",""score"":""9 : 5"",""txt"":""Zmiana: M. Zelencik ⇄ L. Uherík""},{""type"":""rally"",""score"":""9 : 5"",""speed"":""53.8 km/h"",""res"":""Punkt: S. Onderčok""},{""type"":""rally"",""score"":""9 : 4"",""speed"":""57.8 km/h"",""res"":""Punkt: Ľ. Ďumbala""},{""type"":""rally"",""score"":""9 : 3"",""speed"":""56.9 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""tmo"",""score"":""8 : 3"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 3"",""speed"":""-"",""res"":""Błąd: Ľ. Ďumbala""},{""type"":""rally"",""score"":""7 : 3"",""speed"":""-"",""res"":""Błąd: R. Drent""},{""type"":""rally"",""score"":""7 : 2"",""speed"":""56.2 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""6 : 2"",""speed"":""50.7 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""5 : 2"",""speed"":""62.0 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""4 : 2"",""speed"":""58.8 km/h"",""res"":""Punkt: B. Mihočko""},{""type"":""rally"",""score"":""4 : 1"",""speed"":""56.4 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""63.2 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""58.5 km/h"",""res"":""Punkt: B. Mihočko""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""52.1 km/h"",""res"":""Punkt: R. Drent""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""47.1 km/h"",""res"":""Punkt: T. Seunke""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 6"",""txt"":""Koniec seta 3 : 0""},{""type"":""end"",""score"":""25 : 6"",""txt"":""Koniec seta 3 : 0""},{""type"":""rally"",""score"":""25 : 6"",""speed"":""48.6 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""24 : 6"",""speed"":""-"",""res"":""Błąd: K. Vatra""},{""type"":""chg"",""score"":""23 : 6"",""txt"":""Zmiana: L. Ďurica ⇄ S. Onderčok""},{""type"":""chg"",""score"":""23 : 6"",""txt"":""Zmiana: G. Penksa ⇄ B. Mihočko""},{""type"":""chg"",""score"":""23 : 6"",""txt"":""Zmiana: G. Mečiar ⇄ �. Ďumbala""},{""type"":""rally"",""score"":""23 : 6"",""speed"":""46.4 km/h"",""res"":""Błąd: T. Seunke""},{""type"":""rally"",""score"":""23 : 5"",""speed"":""48.1 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""chg"",""score"":""22 : 5"",""txt"":""Zmiana: B. Dubašák ⇄ L. Svorník""},{""type"":""chg"",""score"":""22 : 5"",""txt"":""Zmiana: M. Zelencik ⇄ L. Uherík""},{""type"":""rally"",""score"":""22 : 5"",""speed"":""45.1 km/h"",""res"":""Punkt: L. Svorník""},{""type"":""rally"",""score"":""22 : 4"",""speed"":""47.3 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""21 : 4"",""speed"":""47.8 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""20 : 4"",""speed"":""51.7 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""19 : 4"",""speed"":""46.3 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""18 : 4"",""speed"":""51.3 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""17 : 4"",""speed"":""44.5 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""tmo"",""score"":""16 : 4"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 4"",""speed"":""44.7 km/h"",""res"":""Błąd: S. Onderčok""},{""type"":""rally"",""score"":""15 : 4"",""speed"":""52.5 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""14 : 4"",""speed"":""51.5 km/h"",""res"":""Punkt: A. Westenend""},{""type"":""rally"",""score"":""13 : 4"",""speed"":""43.2 km/h"",""res"":""Punkt: L. Svorník""},{""type"":""rally"",""score"":""13 : 3"",""speed"":""59.8 km/h"",""res"":""Punkt: J. Aerts""},{""type"":""rally"",""score"":""12 : 3"",""speed"":""57.4 km/h"",""res"":""Punkt: G. Admiraal""},{""type"":""rally"",""score"":""11 : 3"",""speed"":""62.9 km/h"",""res"":""Błąd: Ľ. Ďumbala""},{""type"":""rally"",""score"":""10 : 3"",""speed"":""47.1 km/h"",""res"":""Błąd: A. Westenend""},{""type"":""rally"",""score"":""10 : 2"",""speed"":""49.6 km/h"",""res"":""Punkt: R. Drent""},{""type"":""rally"",""score"":""9 : 2"",""speed"":""47.2 km/h"",""res"":""Punkt: B. Mihočko""},{""type"":""rally"",""score"":""9 : 1"",""speed"":""62.7 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""tmo"",""score"":""8 : 1"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 1"",""speed"":""49.3 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""7 : 1"",""speed"":""59.7 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""6 : 1"",""speed"":""63.6 km/h"",""res"":""Punkt: G. Admiraal""},{""type"":""rally"",""score"":""5 : 1"",""speed"":""50.3 km/h"",""res"":""Punkt: L. Svorník""},{""type"":""rally"",""score"":""5 : 0"",""speed"":""50.3 km/h"",""res"":""Punkt: G. Admiraal""},{""type"":""rally"",""score"":""4 : 0"",""speed"":""51.9 km/h"",""res"":""Punkt: W. Admiraal""},{""type"":""rally"",""score"":""3 : 0"",""speed"":""48.3 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""52.3 km/h"",""res"":""Punkt: T. Seunke""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""52.4 km/h"",""res"":""Punkt: G. Admiraal""}]}]}","1","1","1","2","0","0","38","58","3","0","38","0","0","0","57.4","51.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","5","3","3","30","71","0","0","0","0","0","5","1","2","0","1","1","2","2","0","0","0","0","3","25","27","19","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Admiraal, Willem","1950382","12","12","12","0","1","64.6","7","0","3","43","43","9","3","2","6","4","67","16","0","100","7","44","8","32","58","0","0","0","0","0","0","0","45.4","","4","5","0","1","0","0","32","58","8","0","32","0","0","0","64.5","52.9","1","0","0","0","2","3","0","0","0","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","5","8","2","1","16","2","2","0","0","0","0","4","0","2","1","0","1","3","15","16","13","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Seunke, Tygo","1928342","13","10","6","0","1","64.3","13","3","6","46","23","4","2","0","2","0","0","0","0","0","0","0","6","33","41","0","0","0","0","0","0","0","33.1","","0","1","0","1","0","0","33","41","6","0","33","0","0","0","64.3","57.1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","5","1","2","0","4","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","12","7","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Drent, Robertus","1976374","6","2","14","2","0","59.8","14","2","5","36","21","10","4","4","6","5","90","0","0","0","0","0","1","20","38","0","0","0","0","0","0","0","17.4","","4","5","1","1","0","0","20","38","1","0","20","0","0","0","59.8","51.7","0","0","0","0","2","2","0","0","0","0","0","0","4","0","2","0","1","7","0","0","0","0","0","0","1","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","4","2","0","1","1","0","5","1","0","0","4","0","3","13","9","8","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Admiraal, Gosse","1904528","9","8","17","1","0","64.6","10","0","6","60","60","15","8","4","7","5","60","11","0","100","7","64","3","32","41","0","0","0","0","0","0","0","32.4","","5","5","0","2","0","0","32","41","3","0","32","0","0","0","64.6","51.7","4","0","0","0","2","6","1","0","0","1","0","2","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","2","1","11","4","2","0","0","2","0","5","4","0","0","0","1","3","8","15","17","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Westenend, Arjen","1904576","22","19","5","0","0","63.1","29","3","15","52","41","2","2","1","0","0","50","0","0","0","0","0","7","43","51","0","0","0","0","0","0","0","55.5","","0","0","0","0","0","0","43","51","7","1","43","0","0","0","63.1","54.9","0","0","1","0","4","5","2","0","1","1","0","4","0","0","0","0","0","0","12","1","0","0","7","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","11","13","10","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Poeder, Lou","1929522","0","0","0","0","0","0","0","0","0","0","0","24","16","12","8","7","79","0","0","0","0","0","0","0","0","3","2","7","1","2","0","4","12.4","","6","6","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","2","7","0","0","0","0","0","12","5","0","1","5","1","7","3","2","0","1","1","3","13","9","6","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Plasterk, Jernst","1976375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Bont, Cor","1950744","0","0","1","0","0","65.7","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","5","7","0","0","5","0","0","0","65.7","65.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","bulk-1.24-matchid-column","0","0","0"
"reprezentacja_grupa4","Netherlands vs Slovakia 3:0","1105708","2026-05-07 19:00","","Netherlands","Hartland, Rijk","1976412","1","-1","1","0","0","65.7","3","2","1","33","-33","1","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","-1","","0","0","0","1","0","0","1","2","0","0","1","0","0","0","65.7","65.7","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","bulk-1.24-matchid-column","0","0","0"
