"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Eskisehir Eagles","Rivière, Marc","1976750","1","1","6","0","0","57.7","0","0","0","0","0","14","11","2","3","1","21","0","0","0","0","0","1","2","32","17","21","84","4","27","30","23","5","","1","1","0","2","0","0","2","32","1","0","1","0","0","1","57.7","52.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","21","0","5","41","84","0","0","0","0","0","2","0","2","0","0","0","1","0","0","0","1","0","3","32","28","27","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Eskisehir Eagles","May, Tyson","1949930","3","-7","7","0","0","56.6","23","9","3","13","-26","12","7","1","5","0","8","38","1","97","6","16","0","14","33","0","0","0","0","0","0","0","3.3","","0","0","0","5","0","0","14","33","0","0","9","0","0","5","56.6","48.3","3","0","0","0","7","10","0","1","6","0","2","9","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","1","3","0","0","0","0","0","0","2","13","14","8","37","1","0","1","0","0","0","0","0","0","0","0","0","3","19","19","17","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Eskisehir Eagles","Orzyłowski, Roman","1864838","4","-2","6","0","0","59.3","17","6","3","18","-18","4","2","1","2","0","25","0","0","0","0","0","1","13","40","0","1","1","0","0","0","1","-2.8","","0","0","0","2","0","0","13","40","1","0","9","0","0","4","59.3","48","0","0","2","0","5","7","3","0","2","0","0","5","0","0","0","0","0","0","0","0","2","0","3","5","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","7","7","9","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Eskisehir Eagles","Dılara, Arsun","2032265","8","5","8","0","1","52.9","17","3","5","29","12","11","7","0","4","1","9","0","0","0","0","0","2","22","44","0","0","0","0","0","0","0","17.3","","1","1","0","3","0","0","22","44","2","0","12","0","0","10","52.9","48.5","2","0","0","0","5","7","2","0","1","0","1","4","1","1","1","0","2","5","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","14","9","7","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Eskisehir Eagles","Katzarski, Lyubomir","1864637","4","-3","3","0","0","55","20","7","4","20","-15","10","8","1","2","0","10","24","0","100","4","17","0","11","43","0","0","0","0","0","0","0","6.5","","0","0","0","2","0","0","11","43","0","0","8","0","0","3","55","52.9","0","0","0","0","6","6","1","1","4","0","0","6","2","1","0","0","2","5","0","0","0","0","0","0","1","0","1","0","1","3","0","0","0","0","0","0","1","6","10","7","24","1","0","0","0","0","1","0","0","0","0","0","0","3","15","16","13","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Eskisehir Eagles","Şenol, Inanç","2032631","4","1","6","0","2","58.8","10","3","2","20","-10","2","1","0","1","0","0","0","0","0","0","0","0","18","36","0","0","0","0","0","0","0","5.5","","0","0","0","1","0","0","18","36","0","0","6","0","0","12","58.8","49.3","1","0","1","0","2","4","0","0","2","0","1","3","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","5","6","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Eskisehir Eagles","Olcay, Baran","1949903","0","0","0","0","0","0","0","0","0","0","0","34","25","10","9","1","32","8","0","100","6","75","0","0","0","0","1","2","0","1","0","1","14","","1","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","3","4","0","8","10","1","6","1","2","0","1","0","1","0","0","0","3","11","8","16","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Çanakkale Belediyespor Kulübü","Yücel, Gökben","1709975","3","3","7","0","0","55.6","0","0","0","0","0","5","2","1","3","3","80","0","0","0","0","0","3","16","29","33","2","46","16","18","9","3","11","","3","3","0","0","0","0","16","29","3","0","15","0","0","1","55.6","50.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","2","0","4","7","46","0","0","0","0","0","1","1","0","0","0","0","3","0","1","0","2","0","3","1","27","26","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Çanakkale Belediyespor Kulübü","Timpanaro, Orlando","1710028","1","0","5","0","0","60.1","2","1","0","0","-50","5","1","0","4","4","80","2","0","100","1","50","1","7","12","0","0","0","0","0","0","0","4.3","","4","4","0","0","0","0","7","12","1","0","7","0","0","0","60.1","53.3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","4","3","0","1","0","0","2","1","12","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Turkey","15573","1178487","turkey_15573","Eskisehir Eagles vs Çanakkale Belediyespor Kulübü 0:3","2026-07-02 19:00","Eagles Arena","Çanakkale Belediyespor Kulübü","Macron, Colin","1745058","23","18","10","1","0","52.3","30","4","19","63","50","3","1","0","2","1","33","0","0","0","0","0","4","36","47","0","0","1","0","0","0","1","53.4","","1","2","0","0","0","0","36","47","4","0","36","0","0","0","52.3","48.7","1","1","0","0","1","3","1","1","1","0","0","3","0","0","0","0","0","0","17","1","0","0","6","24","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","14","13","14","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
