"Liga","Mecz","MatchId","Data","Arena","Klan","ClanMatchId","Drużyna","TeamId","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Chaffin, Sam","1864898","1","0","5","1","0","62.8","0","0","0","0","0","6","3","0","3","0","0","0","0","0","0","0","1","15","41","18","11","66","7","12","26","21","2","{""sets"":[{""h"":17,""a"":25},{""h"":18,""a"":25},{""h"":6,""a"":25}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""17 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""end"",""score"":""17 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""rally"",""score"":""17 : 25"",""speed"":""61.5 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""17 : 24"",""speed"":""71.3 km/h"",""res"":""Błąd: J. Campbell""},{""type"":""rally"",""score"":""17 : 23"",""speed"":""62.8 km/h"",""res"":""Punkt: F. Guet""},{""type"":""rally"",""score"":""17 : 22"",""speed"":""54.5 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""16 : 22"",""speed"":""45.5 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""16 : 21"",""speed"":""55.1 km/h"",""res"":""Punkt: J. Campbell""},{""type"":""rally"",""score"":""15 : 21"",""speed"":""43.1 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""15 : 20"",""speed"":""49.2 km/h"",""res"":""Punkt: N. Anderson""},{""type"":""rally"",""score"":""14 : 20"",""speed"":""62.6 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""14 : 19"",""speed"":""71.0 km/h"",""res"":""Punkt: Z. Kondraciuk""},{""type"":""rally"",""score"":""14 : 18"",""speed"":""73.6 km/h"",""res"":""Punkt: F. Guet""},{""type"":""rally"",""score"":""14 : 17"",""speed"":""72.9 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""tmo"",""score"":""14 : 16"",""txt"":""Czas: ""},{""type"":""rally"",""score"":""14 : 16"",""speed"":""76.9 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""chg"",""score"":""14 : 15"",""txt"":""Zmiana: S. Chaffin ⇄ K. Manus""},{""type"":""rally"",""score"":""14 : 15"",""speed"":""64.4 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""14 : 14"",""speed"":""48.2 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""rally"",""score"":""13 : 14"",""speed"":""61.4 km/h"",""res"":""Punkt: D. Rytter""},{""type"":""rally"",""score"":""13 : 13"",""speed"":""52.0 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""13 : 12"",""speed"":""44.1 km/h"",""res"":""Punkt: D. Fulmer""},{""type"":""rally"",""score"":""12 : 12"",""speed"":""49.1 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""11 : 12"",""speed"":""72.1 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""11 : 11"",""speed"":""-"",""res"":""Błąd: D. Fulmer""},{""type"":""rally"",""score"":""11 : 10"",""speed"":""-"",""res"":""Błąd: F. Guet""},{""type"":""rally"",""score"":""10 : 10"",""speed"":""61.4 km/h"",""res"":""Punkt: S. Starling""},{""type"":""chg"",""score"":""10 : 9"",""txt"":""Zmiana: K. Manus ⇄ S. Chaffin""},{""type"":""rally"",""score"":""10 : 9"",""speed"":""54.2 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""9 : 9"",""speed"":""46.4 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""8 : 9"",""speed"":""51.1 km/h"",""res"":""Punkt: S. Starling""},{""type"":""tmo"",""score"":""8 : 8"",""txt"":""Czas: Pinheiros/Sky""},{""type"":""rally"",""score"":""8 : 8"",""speed"":""46.1 km/h"",""res"":""Błąd: S. Starling""},{""type"":""rally"",""score"":""7 : 8"",""speed"":""44.5 km/h"",""res"":""Punkt: S. Chaffin""},{""type"":""rally"",""score"":""6 : 8"",""speed"":""64.1 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""tmo"",""score"":""5 : 8"",""txt"":""Czas: ""},{""type"":""rally"",""score"":""5 : 8"",""speed"":""43.1 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""5 : 7"",""speed"":""55.5 km/h"",""res"":""Punkt: Z. Kondraciuk""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""-"",""res"":""Błąd: J. Teixeira""},{""type"":""rally"",""score"":""4 : 6"",""speed"":""44.9 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""4 : 5"",""speed"":""77.0 km/h"",""res"":""Punkt: J. Campbell""},{""type"":""rally"",""score"":""3 : 5"",""speed"":""45.5 km/h"",""res"":""Punkt: F. Guet""},{""type"":""rally"",""score"":""3 : 4"",""speed"":""65.5 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""rally"",""score"":""2 : 4"",""speed"":""54.9 km/h"",""res"":""Punkt: J. Campbell""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""54.1 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""47.9 km/h"",""res"":""Punkt: D. Rytter""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""60.6 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""59.1 km/h"",""res"":""Punkt: S. Starling""},{""type"":""tmo"",""score"":""0 : 1"",""txt"":""Czas: Pinheiros/Sky""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""45.9 km/h"",""res"":""Punkt: S. Starling""}]},{""rallies"":[{""type"":""end"",""score"":""18 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""end"",""score"":""18 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""rally"",""score"":""18 : 25"",""speed"":""51.2 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""18 : 24"",""speed"":""44.6 km/h"",""res"":""Błąd: W. Dłuski""},{""type"":""rally"",""score"":""17 : 24"",""speed"":""69.6 km/h"",""res"":""Punkt: D. Fulmer""},{""type"":""rally"",""score"":""16 : 24"",""speed"":""86.3 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""16 : 23"",""speed"":""58.4 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""16 : 22"",""speed"":""43.4 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""rally"",""score"":""15 : 22"",""speed"":""57.4 km/h"",""res"":""Punkt: N. Anderson""},{""type"":""rally"",""score"":""14 : 22"",""speed"":""-"",""res"":""Błąd: D. Rytter""},{""type"":""rally"",""score"":""13 : 22"",""speed"":""49.3 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""13 : 21"",""speed"":""67.2 km/h"",""res"":""Punkt: N. Anderson""},{""type"":""rally"",""score"":""12 : 21"",""speed"":""69.5 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""12 : 20"",""speed"":""46.3 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""12 : 19"",""speed"":""58.7 km/h"",""res"":""Punkt: N. Anderson""},{""type"":""rally"",""score"":""11 : 19"",""speed"":""55.1 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""10 : 19"",""speed"":""55.0 km/h"",""res"":""Punkt: S. Starling""},{""type"":""chg"",""score"":""10 : 18"",""txt"":""Zmiana: S. Chaffin ⇄ B. Carson""},{""type"":""rally"",""score"":""10 : 18"",""speed"":""55.6 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""9 : 18"",""speed"":""59.8 km/h"",""res"":""Punkt: Z. Kondraciuk""},{""type"":""chg"",""score"":""9 : 17"",""txt"":""Zmiana: B. Erickson ⇄ J. Campbell""},{""type"":""tmo"",""score"":""9 : 17"",""txt"":""Czas: Missouri Mustangs II""},{""type"":""rally"",""score"":""9 : 17"",""speed"":""51.9 km/h"",""res"":""Punkt: D. Rytter""},{""type"":""tmo"",""score"":""9 : 16"",""txt"":""Czas: ""},{""type"":""rally"",""score"":""9 : 16"",""speed"":""65.5 km/h"",""res"":""Punkt: D. Rytter""},{""type"":""rally"",""score"":""9 : 15"",""speed"":""69.6 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""9 : 14"",""speed"":""63.0 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""9 : 13"",""speed"":""43.9 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""9 : 12"",""speed"":""66.4 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""9 : 11"",""speed"":""55.4 km/h"",""res"":""Punkt: F. Guet""},{""type"":""rally"",""score"":""9 : 10"",""speed"":""72.6 km/h"",""res"":""Błąd: W. Dłuski""},{""type"":""chg"",""score"":""8 : 10"",""txt"":""Zmiana: B. Carson ⇄ S. Chaffin""},{""type"":""rally"",""score"":""8 : 10"",""speed"":""55.4 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""8 : 9"",""speed"":""54.2 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""8 : 8"",""speed"":""61.5 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""tmo"",""score"":""7 : 8"",""txt"":""Czas: ""},{""type"":""rally"",""score"":""7 : 8"",""speed"":""89.6 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""7 : 7"",""speed"":""79.2 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""7 : 6"",""speed"":""41.1 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""7 : 5"",""speed"":""49.8 km/h"",""res"":""Punkt: D. Fulmer""},{""type"":""rally"",""score"":""6 : 5"",""speed"":""67.0 km/h"",""res"":""Błąd: Z. Kondraciuk""},{""type"":""rally"",""score"":""5 : 5"",""speed"":""62.2 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""tmo"",""score"":""5 : 4"",""txt"":""Czas: Pinheiros/Sky""},{""type"":""rally"",""score"":""5 : 4"",""speed"":""54.3 km/h"",""res"":""Błąd: W. Dłuski""},{""type"":""rally"",""score"":""4 : 4"",""speed"":""65.1 km/h"",""res"":""Punkt: J. Campbell""},{""type"":""rally"",""score"":""3 : 4"",""speed"":""66.1 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""rally"",""score"":""2 : 4"",""speed"":""63.4 km/h"",""res"":""Punkt: S. Starling""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""-"",""res"":""Błąd: F. Guet""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""-"",""res"":""Błąd: D. Fulmer""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""45.2 km/h"",""res"":""Punkt: J. Campbell""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""61.4 km/h"",""res"":""Punkt: S. Starling""},{""type"":""tmo"",""score"":""0 : 1"",""txt"":""Czas: Pinheiros/Sky""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""66.6 km/h"",""res"":""Punkt: D. Rytter""}]},{""rallies"":[{""type"":""end"",""score"":""6 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""end"",""score"":""6 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""rally"",""score"":""6 : 25"",""speed"":""-"",""res"":""Błąd: S. Chaffin""},{""type"":""rally"",""score"":""6 : 24"",""speed"":""51.4 km/h"",""res"":""Błąd: J. Teixeira""},{""type"":""rally"",""score"":""5 : 24"",""speed"":""43.5 km/h"",""res"":""Punkt: I. Pressler""},{""type"":""rally"",""score"":""5 : 23"",""speed"":""68.8 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""rally"",""score"":""4 : 23"",""speed"":""51.7 km/h"",""res"":""Punkt: I. Pressler""},{""type"":""rally"",""score"":""4 : 22"",""speed"":""68.2 km/h"",""res"":""Punkt: I. Pressler""},{""type"":""rally"",""score"":""4 : 21"",""speed"":""55.6 km/h"",""res"":""Punkt: I. Pressler""},{""type"":""rally"",""score"":""4 : 20"",""speed"":""61.5 km/h"",""res"":""Punkt: D. Rytter""},{""type"":""rally"",""score"":""4 : 19"",""speed"":""51.6 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""chg"",""score"":""4 : 18"",""txt"":""Zmiana: S. Chaffin ⇄ J. Slyter""},{""type"":""rally"",""score"":""4 : 18"",""speed"":""79.0 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""rally"",""score"":""3 : 18"",""speed"":""62.6 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""3 : 17"",""speed"":""72.0 km/h"",""res"":""Błąd: J. Campbell""},{""type"":""tmo"",""score"":""3 : 16"",""txt"":""Czas: ""},{""type"":""rally"",""score"":""3 : 16"",""speed"":""69.2 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""3 : 15"",""speed"":""60.5 km/h"",""res"":""Punkt: F. Guet""},{""type"":""rally"",""score"":""3 : 14"",""speed"":""91.7 km/h"",""res"":""Punkt: G. Hopper""},{""type"":""rally"",""score"":""2 : 14"",""speed"":""67.4 km/h"",""res"":""Błąd: G. Hopper""},{""type"":""rally"",""score"":""2 : 13"",""speed"":""91.4 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""2 : 12"",""speed"":""71.8 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""2 : 11"",""speed"":""84.7 km/h"",""res"":""Punkt: Z. Kondraciuk""},{""type"":""chg"",""score"":""2 : 10"",""txt"":""Zmiana: J. Slyter ⇄ S. Chaffin""},{""type"":""rally"",""score"":""2 : 10"",""speed"":""69.6 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""2 : 9"",""speed"":""55.5 km/h"",""res"":""Błąd: G. Hopper""},{""type"":""tmo"",""score"":""2 : 8"",""txt"":""Czas: ""},{""type"":""rally"",""score"":""2 : 8"",""speed"":""64.0 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""2 : 7"",""speed"":""68.2 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""tmo"",""score"":""2 : 6"",""txt"":""Czas: Missouri Mustangs II""},{""type"":""rally"",""score"":""2 : 6"",""speed"":""71.0 km/h"",""res"":""Punkt: W. Dłuski""},{""type"":""rally"",""score"":""2 : 5"",""speed"":""81.1 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""2 : 4"",""speed"":""53.5 km/h"",""res"":""Punkt: J. Teixeira""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""60.9 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""53.3 km/h"",""res"":""Punkt: I. Pressler""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""52.7 km/h"",""res"":""Punkt: A. Bell""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""62.1 km/h"",""res"":""Punkt: I. Pressler""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: I. Pressler ⇄ S. Starling""},{""type"":""tmo"",""score"":""0 : 1"",""txt"":""Czas: Pinheiros/Sky""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""58.8 km/h"",""res"":""Punkt: S. Starling""}]}]}","0","1","0","0","0","0","15","41","1","0","13","0","0","2","62.8","55.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","11","1","2","34","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Fulmer, Devin","1864189","3","-4","5","2","0","55","5","0","2","40","40","18","11","5","7","3","44","52","5","90","14","27","1","25","52","0","0","0","0","0","0","0","24.6","","2","4","0","0","0","0","25","52","1","0","23","0","0","2","55","52.1","1","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Bell, Adam","1949614","10","8","8","0","0","65.5","18","2","8","44","33","2","1","0","1","0","0","0","0","0","0","0","2","25","43","0","0","0","0","0","0","0","25.6","","0","0","0","0","0","0","25","43","2","2","21","0","0","4","65.5","53.6","0","0","1","0","4","5","2","0","0","0","0","2","0","0","0","0","0","0","5","0","1","1","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","2","2","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Campbell, Jeffery","1905100","6","-2","6","0","0","65.1","27","8","5","19","-11","10","7","0","3","1","10","0","0","0","0","0","1","12","35","0","0","0","0","0","0","0","-0.8","","0","1","0","0","0","0","12","35","1","0","9","0","0","3","65.1","58.6","3","1","2","0","5","11","0","0","0","0","0","0","1","1","4","0","5","11","0","0","0","0","0","0","0","0","0","1","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","2","1","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Anderson, Nick","1767402","4","1","8","0","1","58.4","5","3","1","20","-40","24","20","8","4","0","33","8","0","100","2","25","2","12","36","0","0","0","0","0","0","0","16.9","","0","0","0","0","0","0","12","36","2","0","10","0","0","2","58.4","50","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","0","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Hopper, Gavin","1976479","12","4","8","0","0","54.2","33","8","10","30","6","3","1","0","2","1","33","0","0","0","0","0","2","30","45","0","0","0","0","0","0","0","15.6","","0","0","0","0","0","0","30","45","0","0","27","2","0","3","54.2","47.6","4","0","0","0","10","14","0","1","0","0","0","1","0","0","0","0","0","0","5","1","6","1","5","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","5","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Burns, Mike","1725160","0","-1","0","0","0","0","0","0","0","0","0","21","12","5","9","5","48","9","1","89","2","22","0","0","0","0","0","1","0","0","0","1","8","","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Erickson, Brandon","1927252","0","0","1","0","0","49.3","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","6","8","0","0","0","0","0","0","0","0","","0","1","0","0","0","0","6","8","0","0","4","0","0","2","49.3","49.3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Slyter, Justin","2112383","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","2","2","10","1","0","3","6","0","","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","4","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","clan-bulk-1.2","0","0","0"
"liga_klanow_2_2","Missouri Mustangs II vs Pinheiros/Sky 0:3","1203940","2026-07-11 19:00","The Stable","American Dream","1292","Missouri Mustangs II","","Carson, Brody","2087843","0","0","1","0","0","55.4","0","0","0","0","0","3","0","0","3","1","33","0","0","0","0","0","0","0","0","0","3","10","0","2","3","5","0.4","","1","3","0","0","0","0","0","0","0","0","0","0","0","0","55.4","55.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","clan-bulk-1.2","0","0","0"
